Словарь по частям речи:
Слово	Число поторений
Глаголы:
видеть	1
возбуждать	1
вспоминать	1
вспомнить	3
выступать	1
говорить	6
говориться	1
горячиться	1
давать	1
дать	1
делать	1
дойти	1
доказывать	1
доходить	1
думать	2
жить	1
забыть	1
зависеть	1
задумывать	1
записать	1
затеять	1
затянуться	1
звучать	1
знать	1
идти	5
изобразить	1
иметь	1
казаться	1
лечь	1
лопнуть	1
мечтать	1
мочь	4
напечатать	2
написать	1
напоминать	2
находиться	2
начинаться	3
негодовать	1
носить	1
обозначать	1
объяснять	1
ожидать	1
оказаться	1
описывать	1
остаться	2
относиться	1
отходить	1
отшлёпать	2
пародировать	1
перевязывать	1
писать	7
поговорить	1
подставить	1
подытоживать	1
познакомиться	1
пойти	1
полагать	1
получаться	1
понимать	1
понять	2
попасть	2
послужить	1
потребовать	1
появиться	1
предположить	1
представляться	2
прерываться	1
приводиться	1
принимать	2
приходить	1
провалиться	1
прочесть	1
рассказывать	2
решать	1
рушиться	1
сидеть	1
сказываться	1
собираться	1
совершать	1
совершить	1
совпадать	2
сократить	1
сочувствовать	1
спрашивать	1
стать	1
стрелять	1
строить	1
существовать	1
считать	1
трещать	2
увидать	1
удивить	1
удивляться	1
удовлетворяться	1
усиливать	1
успеть	1
хоронить	1
хотеть	1
читать	1

Существительные:
александр	1
анализ	1
андреевич	1
анна	3
аракчеев	1
бастион	1
безухов	2
берс	1
блиндаж	1
борьба	1
брак	2
брюссель	1
взгляд	1
война	14
вопрос	1
воспоминание	2
восстание	1
восторг	3
впечатление	1
время	4
вронский	1
вывод	1
герой	6
герцен	5
го	1
год	18
государство	1
данилевский	1
движение	1
дворянство	1
девочка	1
действие	1
декабрист	15
декабрь	2
деление	1
деятель	1
дневник	2
доказательство	1
дочь	1
друг	1
единство	1
железо	1
жена	2
жизнь	3
журнал	1
завоеватель	1
завязка	1
заглавие	2
замысел	2
зачин	1
звезда	3
земля	1
знание	2
знать	1
иван	1
известие	1
издание	2
измена	2
ильич	1
император	1
имя	2
интерес	5
интрига	1
ироничность	1
ирония	3
история	8
июль	1
кампания	3
карамзин	1
каренин	2
каторга	1
кладбище	1
класс	1
книга	5
колесо	1
конец	3
конспект	1
крах	1
критик	1
круг	1
лев	1
лицо	3
лошадь	1
лёд	2
м	4
мальчик	1
манифест	1
месяц	3
мировоззрение	1
мнение	3
момент	1
москва	1
мусор	1
мысль	1
надежда	3
название	1
намётка	1
наполеон	6
народ	9
наталья	1
наташа	2
начало	1
нашествие	1
неделя	1
недоверие	1
недовольство	1
необходимость	1
николай	3
новгород	1
нога	1
ночь	1
ноябрь	1
область	1
обложка	1
общество	1
объявление	2
описание	3
осмысливание	1
основа	1
особенность	1
отец	2
отзвук	1
отставка	1
отстранение	1
палка	1
пародия	1
перевязка	1
период	2
пермь	1
писатель	2
письмо	2
победа	2
повод	1
подделывание	1
поездка	1
политика	1
полна	1
поляна	1
помещик	1
поражение	3
портрет	2
построение	2
поступок	3
появление	1
предисловие	2
причина	4
произведение	5
пугачёв	1
пузырь	4
пункт	1
пьер	6
работа	1
развал	1
разведка	1
развязка	1
разговор	1
разочарование	1
раскрытие	1
рассказ	4
расстояние	1
ребёнок	1
революция	2
реформа	1
решение	1
робость	1
роман	1
россия	7
россиянин	2
ростов	1
ружьё	1
